time	V(6)
5.194953361873938e-003	1.029080e+001
5.204718986873938e-003	1.050708e+001
5.214484611873938e-003	1.068379e+001
5.224250236873938e-003	1.082028e+001
5.234015861873938e-003	1.091602e+001
5.243781486873937e-003	1.097066e+001
5.253547111873937e-003	1.098399e+001
5.263312736873937e-003	1.095597e+001
5.273078361873937e-003	1.088670e+001
5.282843986873937e-003	1.077644e+001
5.292609611873936e-003	1.062560e+001
5.302375236873936e-003	1.043477e+001
5.312140861873936e-003	1.020465e+001
5.321906486873936e-003	9.936108e+000
5.331672111873935e-003	9.630161e+000
5.341437736873935e-003	9.287960e+000
5.351203361873935e-003	8.910793e+000
5.360968986873935e-003	8.500080e+000
5.370734611873935e-003	8.057366e+000
5.380500236873934e-003	7.584320e+000
5.390265861873934e-003	7.082721e+000
5.400031486873934e-003	6.554458e+000
5.409797111873934e-003	6.001522e+000
5.419562736873934e-003	5.425996e+000
5.429328361873933e-003	4.830051e+000
5.439093986873933e-003	4.215936e+000
5.458625236873933e-003	2.942563e+000
5.468390861873933e-003	2.288176e+000
5.478156486873932e-003	1.625453e+000
5.487922111873932e-003	9.577156e-001
5.497687736873932e-003	2.955439e-001
5.503988415423411e-003	-1.308146e-001
5.507586658308849e-003	-3.842341e-001
5.511985835601454e-003	-6.983607e-001
5.516613523624525e-003	-1.020622e+000
5.522344620299286e-003	-1.414889e+000
5.532110245299286e-003	-2.080953e+000
5.541875870299286e-003	-2.739181e+000
5.561407120299285e-003	-4.021843e+000
5.580938370299285e-003	-5.243826e+000
5.600469620299284e-003	-6.386917e+000
5.620000870299284e-003	-7.433959e+000
5.639532120299284e-003	-8.369217e+000
5.659063370299283e-003	-9.178635e+000
5.678594620299283e-003	-9.850044e+000
5.698125870299282e-003	-1.037335e+001
5.717657120299282e-003	-1.074070e+001
5.737188370299282e-003	-1.094655e+001
5.756719620299281e-003	-1.098783e+001
5.776250870299281e-003	-1.086389e+001
5.795782120299280e-003	-1.057660e+001
5.815313370299280e-003	-1.013030e+001
5.834844620299279e-003	-9.531682e+000
5.854375870299279e-003	-8.789772e+000
5.873907120299279e-003	-7.915734e+000
5.893438370299278e-003	-6.922725e+000
5.912969620299278e-003	-5.825691e+000
5.932500870299277e-003	-4.641157e+000
5.952032120299277e-003	-3.386999e+000
5.961797745299277e-003	-2.739724e+000
5.971563370299277e-003	-2.082299e+000
5.981328995299276e-003	-1.417463e+000
5.991094620299276e-003	-7.498522e-001
6.000860245299276e-003	-8.374906e-002
6.010625870299276e-003	5.897512e-001
6.015968638627696e-003	9.653084e-001
6.021264969254157e-003	1.333953e+000
6.027519154363352e-003	1.761245e+000
6.037284779363352e-003	2.423190e+000
6.047050404363352e-003	3.076176e+000
6.066581654363351e-003	4.344589e+000
6.076347279363351e-003	4.955351e+000
6.086112904363351e-003	5.547418e+000
6.095878529363351e-003	6.118572e+000
6.105644154363351e-003	6.666665e+000
6.115409779363350e-003	7.189638e+000
6.125175404363350e-003	7.685525e+000
6.134941029363350e-003	8.152460e+000
6.144706654363350e-003	8.588687e+000
6.154472279363350e-003	8.992564e+000
6.164237904363349e-003	9.362574e+000
6.174003529363349e-003	9.697321e+000
6.183769154363349e-003	9.995548e+000
6.193534779363349e-003	1.025613e+001
6.203300404363349e-003	1.047810e+001
6.213066029363348e-003	1.066061e+001
6.222831654363348e-003	1.080297e+001
6.232597279363348e-003	1.090466e+001
6.242362904363348e-003	1.096528e+001
6.252128529363348e-003	1.098462e+001
6.261894154363347e-003	1.096261e+001
6.271659779363347e-003	1.089931e+001
6.281425404363347e-003	1.079498e+001
6.291191029363347e-003	1.065001e+001
6.300956654363346e-003	1.046495e+001
6.310722279363346e-003	1.024048e+001
6.320487904363346e-003	9.977465e+000
6.330253529363346e-003	9.676884e+000
6.340019154363346e-003	9.339872e+000
6.349784779363345e-003	8.967700e+000
6.359550404363345e-003	8.561766e+000
6.369316029363345e-003	8.123600e+000
6.379081654363345e-003	7.654852e+000
6.388847279363345e-003	7.157286e+000
6.398612904363344e-003	6.632775e+000
6.408378529363344e-003	6.083296e+000
6.418144154363344e-003	5.510919e+000
6.427909779363344e-003	4.917802e+000
6.437675404363344e-003	4.306184e+000
6.457206654363343e-003	3.036768e+000
6.466972279363343e-003	2.383817e+000
6.476737904363343e-003	1.722132e+000
6.486503529363343e-003	1.054793e+000
6.496269154363342e-003	3.912387e-001
6.502986047344339e-003	-6.335451e-002
6.507339596699164e-003	-3.673883e-001
6.512645464022545e-003	-7.441599e-001
6.517345210730198e-003	-1.071429e+000
6.522644838824445e-003	-1.435553e+000
6.532410463824445e-003	-2.101317e+000
6.542176088824445e-003	-2.759259e+000
6.561707338824444e-003	-4.041132e+000
6.581238588824444e-003	-5.262039e+000
6.600769838824443e-003	-6.403781e+000
6.620301088824443e-003	-7.449219e+000
6.639832338824443e-003	-8.382645e+000
6.659363588824442e-003	-9.190028e+000
6.678894838824442e-003	-9.859232e+000
6.698426088824441e-003	-1.038020e+001
6.717957338824441e-003	-1.074509e+001
6.737488588824440e-003	-1.094844e+001
6.757019838824440e-003	-1.098717e+001
6.776551088824440e-003	-1.086070e+001
6.796082338824439e-003	-1.057093e+001
6.815613588824439e-003	-1.012223e+001
6.835144838824438e-003	-9.521337e+000
6.854676088824438e-003	-8.777306e+000
6.874207338824438e-003	-7.901335e+000
6.893738588824437e-003	-6.906609e+000
6.913269838824437e-003	-5.808101e+000
6.932801088824436e-003	-4.622358e+000
6.952332338824436e-003	-3.367276e+000
6.962097963824436e-003	-2.719651e+000
6.971863588824435e-003	-2.061955e+000
6.981629213824435e-003	-1.396940e+000
6.991394838824435e-003	-7.295284e-001
7.001160463824435e-003	-6.325935e-002
7.010859064474602e-003	6.064321e-001
7.016423381099628e-003	9.971448e-001
7.021869314822658e-003	1.375459e+000
7.028216071065072e-003	1.808778e+000
7.037981696065072e-003	2.470130e+000
7.047747321065071e-003	3.122352e+000
7.067278571065071e-003	4.388746e+000
7.077044196065071e-003	4.998250e+000
7.086809821065070e-003	5.588897e+000
7.096575446065070e-003	6.158475e+000
7.106341071065070e-003	6.704843e+000
7.116106696065070e-003	7.225947e+000
7.125872321065070e-003	7.719828e+000
7.135637946065069e-003	8.184628e+000
7.145403571065069e-003	8.618600e+000
7.155169196065069e-003	9.020109e+000
7.164934821065069e-003	9.387647e+000
7.174700446065069e-003	9.719828e+000
7.184466071065068e-003	1.001540e+001
7.194231696065068e-003	1.027327e+001
7.203997321065068e-003	1.049244e+001
7.213762946065068e-003	1.067210e+001
7.223528571065068e-003	1.081158e+001
7.233294196065067e-003	1.091035e+001
7.243059821065067e-003	1.096803e+001
7.252825446065067e-003	1.098442e+001
7.262591071065067e-003	1.095946e+001
7.272356696065067e-003	1.089322e+001
7.282122321065066e-003	1.078598e+001
7.291887946065066e-003	1.063813e+001
7.301653571065066e-003	1.045022e+001
7.311419196065066e-003	1.022298e+001
7.321184821065065e-003	9.957246e+000
7.330950446065065e-003	9.654026e+000
7.340716071065065e-003	9.314462e+000
7.350481696065065e-003	8.939832e+000
7.360247321065065e-003	8.531546e+000
7.370012946065064e-003	8.091142e+000
7.379778571065064e-003	7.620276e+000
7.389544196065064e-003	7.120724e+000
7.399309821065064e-003	6.594365e+000
7.409075446065064e-003	6.043182e+000
7.418841071065063e-003	5.469253e+000
7.428606696065063e-003	4.874741e+000
7.438372321065063e-003	4.261889e+000
7.457903571065063e-003	2.990517e+000
7.467669196065062e-003	2.336854e+000
7.477434821065062e-003	1.674651e+000
7.487200446065062e-003	1.007084e+000
7.496966071065062e-003	3.442877e-001
7.503778877043794e-003	-1.172277e-001
7.507665574140863e-003	-3.903474e-001
7.512349013667757e-003	-7.237961e-001
7.516972989324302e-003	-1.045506e+000
7.522814806900137e-003	-1.447144e+000
