time	V(6)	V(n006)
Step Information: Vdc=-500m  (Run: 1/3)
3.628648100907708e-003	-1.328752e+001	-1.223120e+000
3.629630485090670e-003	-1.329400e+001	-1.227372e+000
3.630379876482043e-003	-1.329721e+001	-1.230596e+000
3.631267230884313e-003	-1.330033e+001	-1.234385e+000
3.633041939688852e-003	-1.330515e+001	-1.241886e+000
3.635498335830059e-003	-1.330999e+001	-1.252125e+000
3.638393181434484e-003	-1.331386e+001	-1.263953e+000
3.642321879279013e-003	-1.331731e+001	-1.279606e+000
3.646445926966338e-003	-1.331961e+001	-1.295488e+000
3.652691017930660e-003	-1.332170e+001	-1.318472e+000
3.659959811224665e-003	-1.332309e+001	-1.343599e+000
3.669725436224665e-003	-1.332404e+001	-1.374650e+000
3.679491061224665e-003	-1.332452e+001	-1.402611e+000
3.689256686224665e-003	-1.332476e+001	-1.427174e+000
3.699022311224664e-003	-1.332490e+001	-1.448247e+000
3.708787936224664e-003	-1.332497e+001	-1.465752e+000
3.718553561224664e-003	-1.332501e+001	-1.479621e+000
3.728319186224664e-003	-1.332504e+001	-1.489804e+000
3.738084811224663e-003	-1.332505e+001	-1.496261e+000
3.747850436224663e-003	-1.332505e+001	-1.498968e+000
3.757616061224663e-003	-1.332505e+001	-1.497915e+000
3.767381686224663e-003	-1.332505e+001	-1.493107e+000
3.777147311224663e-003	-1.332503e+001	-1.484561e+000
3.786912936224662e-003	-1.332500e+001	-1.472309e+000
3.796678561224662e-003	-1.332494e+001	-1.456397e+000
3.806444186224662e-003	-1.332483e+001	-1.436886e+000
3.816209811224662e-003	-1.332464e+001	-1.413849e+000
3.825975436224662e-003	-1.332428e+001	-1.387372e+000
3.835741061224661e-003	-1.332354e+001	-1.357555e+000
3.845506686224661e-003	-1.332189e+001	-1.324510e+000
3.855272311224661e-003	-1.331761e+001	-1.288363e+000
3.865037936224661e-003	-1.330785e+001	-1.249641e+000
3.869312488968559e-003	-1.329780e+001	-1.231820e+000
3.872514237945539e-003	-1.328216e+001	-1.218016e+000
3.874620374213669e-003	-1.326202e+001	-1.208764e+000
3.876462983229614e-003	-1.322839e+001	-1.200549e+000
3.878654244436438e-003	-1.316262e+001	-1.190651e+000
3.881009814782006e-003	-1.306676e+001	-1.179876e+000
3.883037205358449e-003	-1.297053e+001	-1.170476e+000
3.885720507041953e-003	-1.283495e+001	-1.157859e+000
3.888616191303962e-003	-1.268427e+001	-1.143993e+000
3.911756987686602e-003	-1.139669e+001	-1.025978e+000
3.931288237686601e-003	-1.021684e+001	-9.180478e-001
3.950819487686601e-003	-8.966185e+000	-8.038298e-001
3.970350737686600e-003	-7.663499e+000	-6.850418e-001
3.989881987686600e-003	-6.328375e+000	-5.634707e-001
4.009413237686599e-003	-4.980906e+000	-4.409450e-001
4.028944487686599e-003	-3.641401e+000	-3.193074e-001
4.038710112686599e-003	-2.980979e+000	-2.593948e-001
4.048475737686599e-003	-2.330146e+000	-2.003877e-001
4.058241362686598e-003	-1.691470e+000	-1.425083e-001
4.068006987686598e-003	-1.067761e+000	-8.597440e-002
4.077772612686598e-003	-4.630676e-001	-3.086624e-002
4.084684686685491e-003	-4.969195e-002	7.014769e-003
4.093869106636316e-003	4.929794e-001	5.595180e-002
4.098706499858501e-003	7.772902e-001	8.103435e-002
4.104332002402890e-003	1.096256e+000	1.093772e-001
4.110470885506391e-003	1.429077e+000	1.393190e-001
4.120236510506391e-003	1.937185e+000	1.849845e-001
4.130002135506391e-003	2.419325e+000	2.282919e-001
4.139767760506390e-003	2.871485e+000	2.688582e-001
4.149533385506390e-003	3.292038e+000	3.065306e-001
4.159299010506390e-003	3.679447e+000	3.411675e-001
4.169064635506390e-003	4.032260e+000	3.726384e-001
4.178830260506390e-003	4.349159e+000	4.008249e-001
4.188595885506389e-003	4.628956e+000	4.256209e-001
4.198361510506389e-003	4.870602e+000	4.469330e-001
4.208127135506389e-003	5.073190e+000	4.646811e-001
4.217892760506389e-003	5.235960e+000	4.787984e-001
4.227658385506389e-003	5.358301e+000	4.892317e-001
4.237424010506388e-003	5.439754e+000	4.959418e-001
4.247189635506388e-003	5.480016e+000	4.989033e-001
4.256955260506388e-003	5.478936e+000	4.981052e-001
4.266720885506388e-003	5.436519e+000	4.935505e-001
4.276486510506388e-003	5.352926e+000	4.852563e-001
4.286252135506387e-003	5.228475e+000	4.732537e-001
4.296017760506387e-003	5.063635e+000	4.575881e-001
4.305783385506387e-003	4.859029e+000	4.383183e-001
4.315549010506387e-003	4.615427e+000	4.155169e-001
4.325314635506387e-003	4.333751e+000	3.892697e-001
4.335080260506386e-003	4.015064e+000	3.596756e-001
4.344845885506386e-003	3.660569e+000	3.268457e-001
4.354611510506386e-003	3.271609e+000	2.909038e-001
