time	V(file_1)	V(file_1)-V(wh_2)	V(wh_2)
5.751245980581250e-002	2.969295e-001	1.818343e-001	1.150952e-001
5.800000000000000e-002	3.830600e-002	-1.825499e-001	2.208559e-001
5.805856683495000e-002	6.887379e-002	-1.545258e-001	2.233996e-001
5.817570050485000e-002	1.300094e-001	-1.052621e-001	2.352715e-001
5.887850252425000e-002	4.968228e-001	1.507196e-001	3.461033e-001
5.900000000000000e-002	5.602360e-001	2.024106e-001	3.578254e-001
5.909370693592000e-002	4.925951e-001	1.374953e-001	3.550998e-001
5.928112080776000e-002	3.573135e-001	1.332012e-002	3.439933e-001
5.965594855144000e-002	8.675004e-002	-2.300005e-001	3.167506e-001
6.000000000000000e-002	-1.615980e-001	-4.581152e-001	2.965172e-001
6.007496554873600e-002	-1.632573e-001	-4.576043e-001	2.943470e-001
6.022489664620800e-002	-1.665759e-001	-4.513731e-001	2.847972e-001
6.052475884115200e-002	-1.732130e-001	-4.328432e-001	2.596302e-001
6.100000000000000e-002	-1.837320e-001	-4.067003e-001	2.229683e-001
6.105997243898880e-002	-1.726303e-001	-3.868610e-001	2.142307e-001
6.117991731696640e-002	-1.504270e-001	-3.240723e-001	1.736453e-001
6.141980707292160e-002	-1.060203e-001	-1.576730e-001	5.165274e-002
6.189958658483200e-002	-1.720683e-002	1.792281e-001	-1.964349e-001
6.200000000000000e-002	1.381000e-003	2.282708e-001	-2.268898e-001
6.209595590238208e-002	2.628779e-002	2.319364e-001	-2.056486e-001
6.228786770714624e-002	7.610139e-002	1.960601e-001	-1.199587e-001
6.267169131667456e-002	1.757286e-001	8.704189e-002	8.868667e-002
6.300000000000000e-002	2.609460e-001	3.014994e-002	2.307961e-001
6.307676472190567e-002	2.532794e-001	3.671561e-002	2.165638e-001
6.323029416571700e-002	2.379463e-001	8.358201e-002	1.543643e-001
6.353735305333966e-002	2.072800e-001	2.155414e-001	-8.261407e-003
6.400000000000000e-002	1.610750e-001	3.918659e-001	-2.307909e-001
6.406141177752453e-002	1.688224e-001	3.902061e-001	-2.213837e-001
6.418423533257359e-002	1.843172e-001	3.622207e-001	-1.779035e-001
6.442988244267171e-002	2.153068e-001	2.648976e-001	-4.959081e-002
6.492117666286797e-002	2.772861e-001	6.839234e-002	2.088937e-001
6.500000000000000e-002	2.872300e-001	5.489397e-002	2.323360e-001
6.509825884403925e-002	2.343093e-001	2.912797e-002	2.051813e-001
6.529477653211775e-002	1.284678e-001	3.169011e-002	9.677768e-002
6.568781190827475e-002	-8.321518e-002	8.202927e-002	-1.652444e-001
6.600000000000000e-002	-2.513550e-001	7.687023e-002	-3.282252e-001
6.607860707523140e-002	-1.605740e-001	1.519213e-001	-3.124953e-001
6.623582122569420e-002	2.098786e-002	2.652292e-001	-2.442414e-001
6.655024952661980e-002	3.841117e-001	4.512890e-001	-6.717729e-002
6.699999999999999e-002	9.035150e-001	7.434954e-001	1.600196e-001
6.718865698055535e-002	8.308366e-001	6.719280e-001	1.589086e-001
6.799999999999999e-002	5.182740e-001	3.675970e-001	1.506770e-001
6.809999999999999e-002	3.888675e-001	2.325674e-001	1.563001e-001
6.830000000000000e-002	1.300545e-001	-4.851325e-002	1.785678e-001
6.870000000000000e-002	-3.875715e-001	-6.196716e-001	2.321000e-001
6.899999999999999e-002	-7.757910e-001	-1.038931e+000	2.631398e-001
6.907999999999999e-002	-7.587327e-001	-9.981294e-001	2.393968e-001
6.923999999999998e-002	-7.246161e-001	-8.615526e-001	1.369365e-001
6.955999999999998e-002	-6.563827e-001	-5.290412e-001	-1.273415e-001
6.999999999999999e-002	-5.625620e-001	-1.122698e-001	-4.502922e-001
7.006399999999999e-002	-5.873584e-001	-1.558925e-001	-4.314658e-001
7.019199999999999e-002	-6.369510e-001	-2.917212e-001	-3.452298e-001
7.044800000000000e-002	-7.361364e-001	-6.367172e-001	-9.941923e-002
7.096000000000000e-002	-9.345073e-001	-1.321778e+000	3.872705e-001
7.099999999999999e-002	-9.500050e-001	-1.357228e+000	4.072230e-001
7.107999999999999e-002	-8.912850e-001	-1.282663e+000	3.913776e-001
7.123999999999998e-002	-7.738450e-001	-1.096843e+000	3.229982e-001
7.155999999999997e-002	-5.389650e-001	-6.855907e-001	1.466257e-001
7.200000000000000e-002	-2.160050e-001	-1.471015e-001	-6.890345e-002
7.206399999999999e-002	-2.387304e-001	-1.615465e-001	-7.718388e-002
7.219199999999998e-002	-2.841811e-001	-1.690679e-001	-1.151132e-001
7.244799999999997e-002	-3.750826e-001	-1.518543e-001	-2.232284e-001
7.295999999999996e-002	-5.568857e-001	-1.195959e-001	-4.372897e-001
7.300000000000000e-002	-5.710890e-001	-1.250236e-001	-4.460655e-001
7.308000000000008e-002	-5.474676e-001	-1.203092e-001	-4.271584e-001
7.324000000000024e-002	-5.002247e-001	-1.546575e-001	-3.455673e-001
7.356000000000056e-002	-4.057389e-001	-2.706216e-001	-1.351173e-001
7.400000000000000e-002	-2.758210e-001	-3.978759e-001	1.220549e-001
7.406400000000006e-002	-1.982059e-001	-3.161573e-001	1.179514e-001
7.419200000000019e-002	-4.297569e-002	-1.421308e-001	9.915513e-002
7.444800000000044e-002	2.674847e-001	2.219073e-001	4.557747e-002
7.496000000000096e-002	8.884056e-001	9.489085e-001	-6.050298e-002
7.500000000000000e-002	9.369150e-001	1.001767e+000	-6.485189e-002
7.507999999999808e-002	8.818884e-001	9.544271e-001	-7.253869e-002
7.523999999999424e-002	7.718353e-001	8.775455e-001	-1.057101e-001
7.555999999998657e-002	5.517291e-001	7.429991e-001	-1.912700e-001
7.600000000000000e-002	2.490830e-001	5.449082e-001	-2.958252e-001
7.606399999999847e-002	2.598533e-001	5.583319e-001	-2.984786e-001
7.619199999999540e-002	2.813939e-001	5.920268e-001	-3.106329e-001
7.695999999997698e-002	4.106376e-001	8.245104e-001	-4.138728e-001
7.700000000000000e-002	4.173690e-001	8.340540e-001	-4.166850e-001
7.708000000004604e-002	3.533866e-001	7.720992e-001	-4.187126e-001
7.724000000013813e-002	2.254218e-001	6.528841e-001	-4.274623e-001
7.756000000032230e-002	-3.050780e-002	4.195228e-001	-4.500306e-001
7.800000000000000e-002	-3.824110e-001	9.519842e-002	-4.776094e-001
7.806400000003684e-002	-3.305064e-001	1.274430e-001	-4.579494e-001
7.819200000011051e-002	-2.266973e-001	1.411975e-001	-3.678948e-001
7.844800000025784e-002	-1.907896e-002	9.212054e-002	-1.111995e-001
7.896000000055252e-002	3.961577e-001	-8.836687e-004	3.970413e-001
7.900000000000000e-002	4.285980e-001	1.072061e-002	4.178774e-001
7.907999999889497e-002	4.407583e-001	3.111884e-002	4.096395e-001
7.923999999668489e-002	4.650789e-001	9.098914e-002	3.740898e-001
7.955999999226475e-002	5.137202e-001	2.313245e-001	2.823957e-001
8.000000000000000e-002	5.806020e-001	4.102574e-001	1.703446e-001
8.006399999911597e-002	5.218522e-001	3.488872e-001	1.729650e-001
8.019199999734791e-002	4.043525e-001	2.193841e-001	1.849684e-001
8.095999998673957e-002	-3.006454e-001	-5.875719e-001	2.869265e-001
8.100000000000000e-002	-3.373640e-001	-6.270678e-001	2.897038e-001
8.108000002652087e-002	-3.282282e-001	-6.077217e-001	2.794935e-001
8.124000007956260e-002	-3.099567e-001	-5.453886e-001	2.354319e-001
8.156000018564606e-002	-2.734137e-001	-3.951967e-001	1.217830e-001
8.199999999999999e-002	-2.231670e-001	-2.060700e-001	-1.709701e-002
8.206400002121668e-002	-2.239934e-001	-2.139713e-001	-1.002209e-002
8.219200006365006e-002	-2.256461e-001	-2.480313e-001	2.238523e-002
8.244800014851683e-002	-2.289516e-001	-3.437119e-001	1.147603e-001
8.296000031825038e-002	-2.355625e-001	-5.332198e-001	2.976573e-001
8.299999999999999e-002	-2.360790e-001	-5.412343e-001	3.051553e-001
8.307999936349922e-002	-1.819092e-001	-4.705644e-001	2.886553e-001
8.323999809049767e-002	-7.356957e-002	-2.910204e-001	2.174508e-001
8.355999554449459e-002	1.431097e-001	1.093184e-001	3.379126e-002
8.399999999999999e-002	4.410490e-001	6.316968e-001	-1.906478e-001
8.406399949079937e-002	3.852662e-001	5.744574e-001	-1.891912e-001
8.419199847239814e-002	2.737004e-001	4.562197e-001	-1.825192e-001
8.495999236199073e-002	-3.956938e-001	-2.698480e-001	-1.258458e-001
8.499999999999999e-002	-4.305650e-001	-3.062633e-001	-1.243017e-001
8.508001527601852e-002	-3.888939e-001	-2.682562e-001	-1.206378e-001
8.524004582805558e-002	-3.055518e-001	-2.007244e-001	-1.048274e-001
8.556010693212970e-002	-1.388675e-001	-7.481758e-002	-6.404989e-002
