time	V(wh_1)	V(wh_1)-V(wh_2)	V(wh_2)
2.840485759703444e-001	6.289250e-002	-1.181661e-002	7.470911e-002
2.850485759703444e-001	7.470911e-002	2.200913e-001	-1.453822e-001
2.860485759703444e-001	-1.453822e-001	1.377410e-001	-2.831232e-001
2.870485759703444e-001	-2.831232e-001	-1.001597e-001	-1.829635e-001
2.880485759703444e-001	-1.829635e-001	-4.728907e-002	-1.356744e-001
2.890485759703445e-001	-1.356744e-001	-7.863786e-002	-5.703656e-002
2.900485759703445e-001	-5.703656e-002	-6.016549e-003	-5.102001e-002
2.910485759703445e-001	-5.102001e-002	7.087878e-002	-1.218988e-001
2.920485759703445e-001	-1.218988e-001	5.010128e-003	-1.269089e-001
2.930485759703445e-001	-1.269089e-001	-1.660368e-001	3.912791e-002
2.940485759703445e-001	3.912791e-002	-1.408026e-001	1.799305e-001
2.950485759703445e-001	1.799305e-001	-8.318865e-002	2.631191e-001
2.960485759703445e-001	2.631191e-001	-1.038212e-001	3.669403e-001
2.970485759703445e-001	3.669403e-001	-1.458555e-002	3.815259e-001
2.980485759703445e-001	3.815259e-001	1.555480e-001	2.259779e-001
2.990485759703445e-001	2.259779e-001	1.236046e-001	1.023732e-001
3.000485759703445e-001	1.023732e-001	-7.368362e-002	1.760568e-001
3.010485759703445e-001	1.760568e-001	-3.064169e-002	2.066985e-001
3.020485759703445e-001	2.066985e-001	1.285130e-001	7.818551e-002
3.030485759703445e-001	7.818551e-002	2.132251e-001	-1.350396e-001
3.040485759703445e-001	-1.350396e-001	-7.199256e-002	-6.304705e-002
3.050485759703445e-001	-6.304705e-002	-3.224350e-001	2.593879e-001
3.060485759703445e-001	2.593879e-001	-3.908944e-002	2.984774e-001
3.070485759703445e-001	2.984774e-001	1.400006e-001	1.584768e-001
3.080485759703445e-001	1.584768e-001	-1.958475e-003	1.604352e-001
3.090485759703445e-001	1.604352e-001	4.405528e-004	1.599947e-001
3.100485759703445e-001	1.599947e-001	1.533801e-001	6.614618e-003
3.110485759703445e-001	6.614618e-003	1.017078e-001	-9.509322e-002
3.120485759703445e-001	-9.509322e-002	-4.545113e-002	-4.964209e-002
3.130485759703445e-001	-4.964209e-002	-7.798401e-002	2.834193e-002
3.140485759703445e-001	2.834193e-002	-1.142800e-001	1.426220e-001
3.150485759703445e-001	1.426220e-001	1.168213e-001	2.580069e-002
3.160485759703445e-001	2.580069e-002	1.285387e-001	-1.027380e-001
3.170485759703445e-001	-1.027380e-001	-1.422269e-001	3.948891e-002
3.180485759703445e-001	3.948891e-002	6.562582e-002	-2.613691e-002
3.190485759703445e-001	-2.613691e-002	1.143923e-001	-1.405292e-001
3.200485759703445e-001	-1.405292e-001	-3.820659e-002	-1.023226e-001
3.210485759703445e-001	-1.023226e-001	-1.189336e-004	-1.022037e-001
3.220485759703445e-001	-1.022037e-001	5.864315e-002	-1.608468e-001
3.230485759703445e-001	-1.608468e-001	1.196498e-001	-2.804967e-001
3.240485759703445e-001	-2.804967e-001	-1.375308e-001	-1.429658e-001
3.250485759703445e-001	-1.429658e-001	-2.396228e-001	9.665698e-002
3.260485759703445e-001	9.665698e-002	1.628130e-001	-6.615598e-002
3.270485759703445e-001	-6.615598e-002	2.108399e-001	-2.769958e-001
3.280485759703445e-001	-2.769958e-001	-1.228235e-001	-1.541724e-001
3.290485759703445e-001	-1.541724e-001	-1.464358e-001	-7.736601e-003
3.300485759703445e-001	-7.736601e-003	-9.878322e-003	2.141722e-003
3.310485759703445e-001	2.141722e-003	-3.401818e-003	5.543539e-003
3.320485759703445e-001	5.543539e-003	1.351776e-001	-1.296341e-001
3.330485759703445e-001	-1.296341e-001	6.547672e-002	-1.951108e-001
3.340485759703445e-001	-1.951108e-001	-1.345172e-001	-6.059360e-002
3.350485759703445e-001	-6.059360e-002	-1.683341e-002	-4.376018e-002
3.360485759703445e-001	-4.376018e-002	1.023888e-001	-1.461489e-001
3.370485759703445e-001	-1.461489e-001	-4.019164e-002	-1.059573e-001
3.380485759703445e-001	-1.059573e-001	-2.653416e-001	1.593843e-001
3.390485759703445e-001	1.593843e-001	-1.539403e-001	3.133246e-001
3.400485759703445e-001	3.133246e-001	2.544791e-002	2.878767e-001
3.410485759703445e-001	2.878767e-001	7.918246e-002	2.086943e-001
3.420485759703445e-001	2.086943e-001	1.826665e-001	2.602776e-002
3.430485759703445e-001	2.602776e-002	6.296807e-002	-3.694031e-002
3.440485759703445e-001	-3.694031e-002	-1.309923e-001	9.405197e-002
3.450485759703445e-001	9.405197e-002	6.379656e-003	8.767232e-002
3.460485759703445e-001	8.767232e-002	4.048277e-002	4.718954e-002
3.470485759703445e-001	4.718954e-002	-3.365008e-002	8.083963e-002
3.480485759703445e-001	8.083963e-002	2.757113e-002	5.326850e-002
3.490485759703445e-001	5.326850e-002	3.810745e-002	1.516105e-002
3.500485759703445e-001	1.516105e-002	1.149119e-001	-9.975085e-002
3.510485759703445e-001	-9.975085e-002	-4.930907e-002	-5.044177e-002
3.520485759703445e-001	-5.044177e-002	-2.992835e-001	2.488418e-001
3.530485759703445e-001	2.488418e-001	-2.911851e-003	2.517536e-001
3.540485759703445e-001	2.517536e-001	3.155525e-001	-6.379889e-002
3.550485759703445e-001	-6.379889e-002	1.646563e-001	-2.284552e-001
3.560485759703445e-001	-2.284552e-001	-5.488761e-002	-1.735675e-001
3.570485759703445e-001	-1.735675e-001	-7.451342e-002	-9.905413e-002
3.580485759703445e-001	-9.905413e-002	7.285199e-002	-1.719061e-001
3.590485759703445e-001	-1.719061e-001	1.781826e-001	-3.500887e-001
3.600485759703445e-001	-3.500887e-001	-1.399613e-001	-2.101274e-001
3.610485759703445e-001	-2.101274e-001	-3.432900e-001	1.331626e-001
3.620485759703445e-001	1.331626e-001	-2.963181e-002	1.627944e-001
3.630485759703445e-001	1.627944e-001	7.440765e-002	8.838677e-002
3.640485759703445e-001	8.838677e-002	-3.539244e-002	1.237792e-001
3.650485759703445e-001	1.237792e-001	2.234168e-003	1.215450e-001
3.660485759703445e-001	1.215450e-001	1.287155e-001	-7.170497e-003
3.670485759703445e-001	-7.170497e-003	1.294611e-001	-1.366316e-001
3.680485759703445e-001	-1.366316e-001	-1.373477e-001	7.161349e-004
